Question_Num,Single_Layer_rouge_1_f1,Single_Layer_rouge_2_f1,Single_Layer_rouge_l_f1,Single_Layer_bert_p,Single_Layer_bert_r,Single_Layer_bert_f1,Single_Layer_bert_similarity,Single_Layer_sorensen,Single_Layer_jaccard,Single_Layer_tfidf,Double_Layer_rouge_1_f1,Double_Layer_rouge_2_f1,Double_Layer_rouge_l_f1,Double_Layer_bert_p,Double_Layer_bert_r,Double_Layer_bert_f1,Double_Layer_bert_similarity,Double_Layer_sorensen,Double_Layer_jaccard,Double_Layer_tfidf,Triple_Layer_rouge_1_f1,Triple_Layer_rouge_2_f1,Triple_Layer_rouge_l_f1,Triple_Layer_bert_p,Triple_Layer_bert_r,Triple_Layer_bert_f1,Triple_Layer_bert_similarity,Triple_Layer_sorensen,Triple_Layer_jaccard,Triple_Layer_tfidf
87,0.673161,0.665003,0.497191,0.599065,0.572279,0.521732,0.713031,0.605413,0.484485,0.695767,0.679966,0.912337,0.562923,0.919367,0.465477,0.465705,0.500827,0.535802,0.741375,0.747087,0.814452,0.897484,0.672873,0.897077,0.876302,0.914612,0.701127,0.807425,0.874985,0.888431
88,0.739104,0.503641,0.696465,0.850546,0.922114,0.789462,0.891223,0.929124,0.660398,0.666438,0.927059,0.949057,0.658763,0.885213,0.894214,0.847081,0.951008,0.542239,0.926738,0.716128,0.762652,0.697111,0.896628,0.905521,0.935858,0.910136,0.927752,0.927492,0.913103,0.861319
89,0.536719,0.684946,0.698008,0.913863,0.470374,0.446008,0.670965,0.476844,0.755422,0.623512,0.861842,0.896642,0.533167,0.691645,0.871987,0.726907,0.895888,0.887204,0.623196,0.689406,0.813909,0.845558,0.893871,0.912853,0.872333,0.787481,0.842213,0.906009,0.683474,0.873756
90,0.456796,0.801587,0.742096,0.782408,0.920422,0.688543,0.493092,0.884695,0.928019,0.675663,0.956426,0.869302,0.877991,0.668406,0.925866,0.746307,0.839054,0.826681,0.624094,0.732139,0.918372,0.731681,0.917742,0.790349,0.664168,0.940961,0.889021,0.942095,0.684741,0.865209
91,0.754402,0.888178,0.943192,0.520212,0.796475,0.509206,0.639528,0.613102,0.831465,0.654854,0.491398,0.812636,0.615501,0.861723,0.945892,0.921669,0.586697,0.931463,0.818155,0.784256,0.934061,0.741602,0.901339,0.907937,0.918352,0.883835,0.703356,0.891846,0.903836,0.862319
92,0.932243,0.835173,0.641968,0.421225,0.916227,0.457911,0.745249,0.767052,0.747933,0.698432,0.676529,0.779388,0.947621,0.715288,0.739053,0.545276,0.726539,0.509757,0.889011,0.758564,0.775363,0.927704,0.908317,0.919987,0.848761,0.885473,0.901387,0.773156,0.874025,0.905488
93,0.520641,0.883338,0.803616,0.943518,0.755299,0.825387,0.550125,0.706533,0.856158,0.614897,0.950508,0.888742,0.896911,0.862213,0.709461,0.944539,0.902525,0.894456,0.911392,0.700169,0.945829,0.682525,0.918648,0.897871,0.827752,0.683078,0.868331,0.814215,0.941405,0.890707
94,0.851794,0.914574,0.944018,0.896459,0.788634,0.592864,0.733716,0.522359,0.785305,0.633617,0.848076,0.518133,0.903414,0.560141,0.918937,0.890102,0.956855,0.845626,0.815978,0.756927,0.912214,0.879439,0.825148,0.880795,0.817524,0.897306,0.841254,0.929566,0.839093,0.859213
95,0.794383,0.876457,0.698692,0.925791,0.760935,0.702616,0.510483,0.690514,0.651519,0.630395,0.664006,0.946578,0.944279,0.810789,0.938096,0.798817,0.794576,0.756725,0.516369,0.765413,0.919655,0.883638,0.907368,0.943798,0.768623,0.859993,0.809009,0.912422,0.930126,0.906988
96,0.506565,0.905964,0.533706,0.792261,0.574276,0.867382,0.871957,0.693797,0.730981,0.576824,0.764652,0.953947,0.958507,0.884129,0.957797,0.747894,0.949444,0.786105,0.956396,0.714646,0.875713,0.915466,0.866623,0.895676,0.766974,0.875093,0.724951,0.890173,0.671947,0.889219
97,0.551374,0.879873,0.450802,0.510891,0.563012,0.730228,0.717235,0.818052,0.700106,0.664806,0.886307,0.862385,0.872127,0.863599,0.555576,0.920094,0.464442,0.653928,0.871084,0.756149,0.777506,0.887629,0.802278,0.831494,0.806779,0.910398,0.829922,0.917356,0.847684,0.904386
98,0.811881,0.949445,0.544558,0.559206,0.920875,0.548969,0.677505,0.591449,0.896463,0.663053,0.921574,0.902592,0.941214,0.878506,0.771377,0.880814,0.768846,0.691314,0.899794,0.752328,0.800791,0.894814,0.912018,0.903997,0.874059,0.907838,0.778101,0.711762,0.944085,0.898889
99,0.583823,0.670073,0.715044,0.573014,0.881861,0.846264,0.868303,0.780425,0.944382,0.650256,0.774939,0.905609,0.876096,0.948853,0.901224,0.947682,0.612761,0.899078,0.692076,0.704281,0.944093,0.916644,0.784864,0.670423,0.897322,0.928031,0.943631,0.739695,0.938242,0.855131
100,0.497898,0.543962,0.611717,0.652858,0.600835,0.764216,0.544054,0.591864,0.626117,0.638271,0.665065,0.870229,0.821818,0.781193,0.467511,0.884493,0.618113,0.915906,0.510403,0.764311,0.757152,0.907734,0.823843,0.880718,0.745074,0.924381,0.909817,0.853684,0.833694,0.863195
Average,0.71059243,0.72203361,0.71429695,0.68883249,0.72766058,0.68297088,0.71509199,0.70931837,0.71480092,0.64940745,0.80167515,0.80883675,0.79816421,0.8054146,0.78630712,0.81266003,0.78610937,0.80942935,0.80042989,0.75160146,0.87131321,0.85617841,0.8579206,0.87991264,0.84136487,0.86164548,0.85638062,0.85352711,0.85811958,0.88125461
